Топик,Подтопик,Поисковой запрос,Текст
Финансы,МТС Инвестиции,Общая информация,"Что такое доверительное управление (ДУ)
Доверительное управление (ДУ) – вид профессиональной финансовой деятельности, при котором доверительный управляющий осуществляет операции с активами инвестора на фондовом или срочном рынке. 

При доверительном управлении инвестор передаёт денежные средства управляющей компании для инвестирования в ценные бумаги и другие активы на определенный срок с целью получения прибыли. 

Доверительный управляющий получает право совершать с активами действия в интересах инвестора, не противоречащие закону и заключенному с клиентом договору.

В чем отличие ДУ ИИС от обычного ДУ
ИИС открывается на три года и даёт возможность получить налоговый вычет. Средства вкладываются в ценные бумаги в соответствии с определенной стратегией Управляющей компании.

При доверительном управлении (ДУ) клиент передаёт денежные средства управляющей компании для инвестирования в ценные бумаги на определенный срок с целью получения прибыли. В данном случае портфель формируется индивидуально и отсутствует возможность получить налоговый вычет от государства.

 

Если у вас остались вопросы, свяжитесь с нами
8 800 737-77-00 — бесплатно на территории РФ
по почте support@mts.investments
в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку (Android) или Написать разработчикам (iOS)
на сайте МТС Инвестиции > иконка Чата в правом нижнем углу"
Финансы,МТС Инвестиции,Общая информация,"Что такое доверительное управление индивидуальным инвестиционным счётом (ДУ ИИС)
Индивидуальный инвестиционный счёт (ИИС) — специальный счёт для вложений в ценные бумаги, который даёт возможность получить доход и вернуть налоги. 

Управляющая компания инвестирует ваши деньги в ценные бумаги, чтобы вы получили доход по этим бумагам. Независимо от того, каким будет такой доход, у вас сохраняется возможность получения налогового вычета.

Как работает ИИС
Вы заключаете договор на открытие ИИС онлайн в приложении или на сайте МТС Инвестиции, или офлайн в отделении МТС Банка
Вносите минимальную сумму денежных средств — от 100 рублей. Сумма вложения зависит от инвестиционной стратегии
Получаете доход от профессионального управления ценными бумагами и гарантированный налоговый вычет от государства
Какие ИИС можно оформить
Доступны три стратегии ИИС: Рынки акций, ОФЗ и Фонды облигаций.

Стратегия — это правила, по которым будет управляться ваш ИИС. Она определяет, в какие виды ценных бумаг будет инвестировать управляющая компания. Инвестиционные стратегии отличаются уровнем потенциального дохода и возможного риска.

Сколько времени занимает оформление ИИС
Открыть инвестиционный счет онлайн можно за пять минут.

Для оформления в офисе МТС Банка потребуется не более 30 минут.

Какую минимальную сумму я могу инвестировать для открытия ИИС
В МТС Инвестициях вы можете открыть ИИС и инвестировать всего 100 рублей, например, по стратегии Фонды облигаций. 

Для оформления скачайте приложение или пройдите по ссылке для оформления на сайте.

Какие есть ограничения по ИИС
Минимальный срок владения ИИС — три полных года от даты открытия счёта. Датой открытия счёта считается дата первой минимальной инвестиции
При закрытии ИИС ранее трёх лет вы автоматически лишаетесь прав на налоговый вычет по этому счёту за весь срок его действия. Даже если вы уже получили налоговый вычет по типу А, вам придётся вернуть его государству
Любое снятие денежных средств до окончания трехлетнего срока приведет к закрытию счёта
Максимальный срок владения ИИС не ограничен. Вы можете пользоваться вычетами по ИИС ежегодно в течение 3, 5 или даже 10 лет на ваше усмотрение
Максимальная сумма инвестиции на ИИС в течение одного календарного года равна 1 млн рублей
У одного физического лица может быть открыт одновременно только один ИИС. Исключением является перевод ИИС от одной компании в другую. Этот случай подразумевает одновременное существование двух ИИС, но только для целей перевода активов и на срок не более одного месяца.

Как пополнить ИИС
В приложении МТС Инвестиции в разделе ДУ ИИС
В приложении МТС Банка или другого банка через платеж по реквизитам:
 

Наименование Банка: ПАО ""МТС-БАНК""

Наименование Получателя: АО УК ""Доверительная""

ИНН:7709324907

КПП:772501001

БИК:44525232

Счет получателя: 40701810700000000429

К/c: 30101810600000000232

Назначение платежа: Перевод в ДУ по договору НОМЕР_ВАШЕГО_ДОГОВОРА _ДУ_ИИС от ВАШЕ_ФИО

Что будет, если я открою второй ИИС и не закрою через месяц первый
Вы потеряете право на налоговый вычет по этим двум счетам.

Если вы уже получали вычет типа А по первому ИИС — придётся его вернуть государству.

 

Если у вас остались вопросы, свяжитесь с нами
8 800 737-77-00 — бесплатно на территории РФ
по почте support@mts.investments
в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку (Android) или Написать разработчикам (iOS)
на сайте МТС Инвестиции > иконка Чата в правом нижнем углу"
Финансы,МТС Инвестиции,Налоговый вычет по ИИС,"Что такое налоговый вычет от государства по ИИС
Это возврат части ранее уплаченного НДФЛ в установленных законодательством РФ о налогах и сборах случаях.

На текущий момент существуют два типа налогового вычета:

Вычет типа А. Государство возвращает часть ранее уплаченного вами налога —13% от взноса на ИИС за тот же календарный год. По этому типу вычета можно вернуть не больше 52 тысяч за один календарный год
Вычет типа Б. Вы не платите подоходный налог по операциям с ценными бумагами за всё время действия счета ИИС. Применяется при закрытии ИИС
Как выбрать тип налогового вычета
Получить вычет типа А можно по окончании календарного года, в течении которого вы инвестировали денежные средства на свой ИИС.

Для этого не нужно предоставлять налоговую декларацию — достаточно подписать заявление на получение вычета в личном кабинете налогоплательщика на сайте Налоговой службы.

При закрытии ИИС через три года после его открытия вы можете направить в управляющую компанию требование о получении налогового вычета типа Б. 

Как получить налоговой вычет по типу А
Подпишите предзаполненное заявление в Личном кабинете на сайте ФНС
Выберете счёт для зачисления денег
Доверительный управляющий направляет в налоговый орган информацию об открытом счёте и сумме денежных средств, внесённых на ИИС. Как правило, это ежегодно происходит в марте
После этого в вашем личном кабинете налогоплательщика на сайте ФНС во вкладке Сообщения появляется информация о том, что получены сведения для получения налогового вычета в упрощенном порядке
После проверки полученных от доверительного управляющего сведений в личном кабинете налогоплательщика во вкладке Сообщения также появляется Заявление на получение вычета в упрощенном порядке
Вам нужно перейти в Заявление на получение вычета в упрощенном порядке и выбрать номер банковского счёта из всплывающего перечня открытых банковских счетов
Подпишите сформированное заявление электронной цифровой подписью
 
Деньги поступят на счёт в течение полутора месяцев после того, как вы подпишете заявление. В исключительных случаях срок проверки данных налоговой может быть увеличен.

Как получить налоговый вычет по типу Б
Обратитесь с заявлением в свой налоговый орган, который выдаст уведомление, что в течение срока действия ИИС вы не пользовались вычетом типа А
Полученное уведомление передайте доверительному управляющему вместе с заявлением на вычет типа Б
 

В результате вы получите денежные средства от продажи активов, учитываемых на ИИС, без удержания налога. Исключение: дивиденды по акциям — при их получении на счёт ИИС налог будет удержан.

По каким доходам я могу вернуть налоги
Применение налогового вычета по ИИС предусмотрено по доходам:

от работы по найму
полученным по гражданско-правовым договорам, например, договорам аренды, выполнения работ и др.
 

Применение налогового вычета по ИИС НЕ предусмотрено по доходам:

от операций с ценными бумагами
от операций РЕПО
в виде выигрышей, полученных участниками азартных игр и участниками лотерей
в виде сумм прибыли контролируемой иностранной компании от долевого участия
от предпринимательской деятельности
от деятельности в качестве самозанятого
Если я плачу НДФЛ по ставке 15%, какой будет вычет
Вы получите вычет по ставке 15%

Я резидент Российской Федерации, но проживал за границей более половины календарного года, в течение которого я инвестировал в ИИС, могу ли я претендовать на налоговый вычет за этот период
К сожалению, нет. Вычет могут использовать только налоговые резиденты РФ – физические лица, фактически находящиеся в России не менее 183 календарных дней в течение 12 следующих подряд месяцев по п. 2 ст. 207 НК РФ.

 

Если у вас остались вопросы, свяжитесь с нами
8 800 737-77-00 — бесплатно на территории РФ
по почте support@mts.investments
в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку (Android) или Написать разработчикам (iOS)
на сайте МТС Инвестиции > иконка Чата в правом нижнем углу"
Финансы,МТС Инвестиции,Как погасить паи фондов,"Самостоятельно погасить паи фондов «Биотехнологии» и «Высокие технологии» не получится. Это делает наша управляющая компания. Есть два способа:

полное погашение после продажи всех ценных бумаг
частичное погашение после продажи части ценных бумаг, когда на счёт фонда поступает сумма от продажи, которая составляет более 10% стоимости его чистых активов
Если у вас остались вопросы, свяжитесь с нами
8 800 737-77-00 — бесплатно на территории РФ
по почте support@mts.investments
в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку (Android) или Написать разработчикам (iOS)
на сайте МТС Инвестиции > иконка Чата в правом нижнем углу"
Финансы,МТС Инвестиции,Как и когда выплачиваются деньги,"В конце каждого квартала, в котором на расчетный счёт фонда поступят денежные средства от реализации ценных бумаг и/или выплаты по ценным бумагам, составляющие более 10% от стоимости чистых активов фонда мы проверяем, есть ли возможность выплатить деньги.

Если возможность есть, мы составляем список инвесторов и выплачиваем деньги по реквизитам из анкеты. Проверить реквизиты можно в личном кабинете на сайте МТС Инвестиции"
Финансы,МТС Инвестиции,Как я могу узнать о выплате денег,"На сайте управляющей компании в разделе Сообщения компании. Мы публикуем новость в конце каждого квартала, если планируем выплату"
Финансы,МТС Инвестиции,Как получить деньги от погашения паев,"Проверьте анкетные данные и реквизиты банковского счёта в личном кабинете на сайте МТС Инвестиции. Если всё верно, больше ничего делать не нужно

Если реквизиты не указаны или изменились, внесите их, иначе мы не сможем выплатить деньги"
Финансы,МТС Инвестиции,"Что делать, если реквизиты банковского счёта для получения выплаты не указаны",Внести реквизиты банковского счёта в личном кабинете на сайте МТС Инвестиции
Финансы,МТС Инвестиции,Можно ли купить паи фондов через управляющую компанию,Нет
Финансы,МТС Инвестиции,Можно ли обменять паи фондов «Биотехнологии» и «Высокие технологии» на паи других фондов,Нет
Финансы,МТС Инвестиции,"Есть ли налог на сумму, которую я получаю при погашении паев","Налог зависит от того, получаете ли вы доход с операции или нет. Рассмотрим два примера

Например, вы приобрели 10 паев ОПИФ «Биотехнологии» по цене 130 рублей за пай, а потом погасили паи ЗПИФ «Биотехнологии» по цене 100 рублей за пай. В этом случае налога не будет, потому что от указанной операции вы бы остались в убытке
Если бы вы погасили паи ЗПИФ по цене 150 рублей за пай, то налог составил бы 26 рублей. Считаем по формуле (1500-1300) х 13%
Таким образом, налог рассчитывается от цены погашения и стоимости покупки погашаемых паев"
Финансы,МТС Инвестиции,Как часто выплачивают деньги владельцам инвестиционных паев,"В начале каждого квартала, если соблюдаются два условия

в течение квартала на расчётный счёт фонда поступают деньги от продажи ценных бумаг
эта сумма должна составлять более 10% от стоимости чистых активов фонда"
Финансы,МТС Инвестиции,Как быстро перечисляются деньги при погашении паев,"В течение 15 рабочих дней после того, как мы опубликуем сообщение о выплате денег"
Финансы,МТС Инвестиции,Почему изменилась сумма моих активов,"Если коротко, изменения произошли из-за ситуации в мире. Вот как это повлияло на сумму активов

В начале 2022 года активы в фондах «Биотехнологии» и «Высокие технологии» стали заблокированными
Последняя стоимость активов была установлена 25 февраля 2022 года
Затем мы изменили тип фондов с открытых на закрытые в соответствии с Решением Совета директоров ЦБ РФ
После оценки активов стоимость изменилась из-за их неликвидности
 

Количество паев, которое ранее было у клиентов, не изменилось"
Финансы,МТС Инвестиции,По какой стоимости оцениваются активы,Стоимость указана по ссылкам: Биотехнологии и Высокие технологии. Её устанавливает независимый оценщик. При этом для заблокированных активов применятся дисконт 70% из-за неликвидности
Финансы,МТС Инвестиции,Что будет с активами,"Цель управляющей компании фондов — управлять активами в фонде, продавать их на лучших условиях и делиться доходами с владельцами долей. Получение выплат увеличит стоимость активов закрытых паевых фондов. В конце квартала, когда на счёт фонда поступят деньги на сумму более 10% от стоимости его чистых активов, мы частично погасим паи и выплатим деньги владельцам. 

Если у вас остались вопросы, свяжитесь с нами
8 800 737-77-00 — бесплатно на территории РФ
по почте support@mts.investments
в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку (Android) или Написать разработчикам (iOS)
на сайте МТС Инвестиции > иконка Чата в правом нижнем углу"
Финансы,МТС Инвестиции,Как часто обновляется стоимость в фондах,"в конце каждого месяца
в конце каждого квартала, когда составляется список инвесторов для частичного погашения инвестиционных паев"
Финансы,МТС Инвестиции,Как передать управляющей компании новые реквизиты моего счёта или иные данные,"Нужно внести изменения в анкету в личном кабинете на сайте МТС Инвестиции

При выводе средств вы можете указать реквизиты любого принадлежащего вам банковского счёта. 

Необходимо вносить изменения в анкету при смене ваших паспортных данных или иных сведений, которые вы сообщили управляющей компании при первоначальном приобретении инвестиционных паёв."
Финансы,МТС Инвестиции,"Как мне изменить анкетные данные, например, номер телефона или фамилию, если у меня куплены паи открытых паевых инвестиционных фондов","При погашении паёв и выплате вам денежных средств будут проверены ваши анкетные данные. Если вы поменяли паспорт, фамилию, телефон, вам необходимо обновить анкету в личном кабинете на сайте МТС Инвестиции

Если у вас ИИС и паи ПИФов, то актуализировать анкету нужно один раз на эти две категории инвестиционных продуктов.

Важно: Если у вас изменились анкетные данные и открыт Брокерский счет в МТС Банке, в том числе через приложение МТС Инвестиции, вы должны изменить свои анкетные данные по инструкции"
Финансы,МТС Инвестиции,"Как мне изменить анкетные данные, например, номер телефона или фамилию, если у меня ДУ ИИС","Если у вас открыт Индивидуальный инвестиционный счет (ИИС), и вы поменяли паспорт, фамилию, телефон, вам необходимо обновить анкету в личном кабинете на сайте МТС Инвестиции

Если у вас ИИС и паи открытых ПИФов, то актуализировать анкету нужно один раз на эти две категории инвестиционных продуктов.

Важно: Если у вас изменились анкетные данные и открыт Брокерский счет в МТС Банке, в том числе через приложение МТС Инвестиции, вы должны изменить свои анкетные данные по инструкции"
Финансы,МТС Инвестиции,"Как мне изменить анкетные данные, например, номер телефона или фамилию, если у меня открыт брокерский счет","1. Сообщите нам, какие именно данные вы хотите изменить, письмом на адрес mtsi@mtsbank.ru или в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку

2. Дождитесь, когда мы подготовим для вас новую анкету клиента

3. Подпишите анкету и отправьте её скан или фото одним из способов:

онлайн в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку 
в любом офисе МТС Банка МТС Банка
 Если у вас изменились анкетные данные, и вы приобретали паи открытых паевых инвестиционных фондов УК Система Капитал или заключали договор доверительного управления индивидуальным инвестиционным счетом — вы должны поменять свои анкетные данные онлайн по инструкции"
Финансы,МТС Инвестиции,Почему БПИФ «Информатика+» стал закрытым,"Мы изменили тип фонда на закрытый по требованию Решения Совета директоров Банка России от 10 февраля 2023 года. Подробнее о том, что изменилось, можно узнать в нашем сообщении на сайте

 

Если у вас остались вопросы, свяжитесь с нами
8 800 737-77-00 — бесплатно на территории РФ
по почте support@mts.investments
в приложении МТС Инвестиции > раздел Ещё > Написать в поддержку (Android) или Написать разработчикам (iOS)
на сайте МТС Инвестиции > иконка Чата в правом нижнем углу"
Финансы,МТС Инвестиции,Когда возобновятся торги инвестиционными паями на Московской Бирже,Торги не возобновятся
Финансы,МТС Инвестиции,Когда погасят паи,"Здесь есть два случая:

полное погашение после продажи всех ценных бумаг
частичное погашение после продажи части ценных бумаг, когда на счёт фонда поступает сумма от продажи, которая составляет более 10% стоимости его чистых активов"
Финансы,МТС Инвестиции,Как мне получить деньги при погашении паев,Деньги при погашении паев будут перечисляться в депозитарий вашего брокера и должны отразиться на вашем брокерском счёте
Финансы,МТС Инвестиции,Почему перестала отображаться позиция по паям на моём биржевом счёте,"Этим вопросом занимается сам брокер. Пожалуйста, свяжитесь с ним, чтобы выяснить ситуацию"
Детям и родителям,МТС Лончер Junior,Что такое МТС Лончер Junior,"МТС Лончер Junior — это приложение для Android, которое помогает: 

изменить дизайн рабочего стола с помощью разных тем и виджетов
сгруппировать приложения для удобного пользования
сделать рабочий стол похожим на интерфейс популярного смартфона с помощью стиля Фруктовый
очистить память телефона и закрыть ненужные приложения одним кликом
настроить анимацию при переходе между рабочими столами
защитить приложения от случайного перемещения
поменять иконки приложений, например, на каплю, цветок, медвежонка или сердечко"
Детям и родителям,МТС Лончер Junior,Как установить МТС Лончер Junior,"Как установить МТС Лончер Junior
1. Скачайте приложение из Google Play

2. Если появится предупреждение, нажмите Всё равно скачать. Файл безопасен

3. Запустите приложение и следуйте инструкциям. Во время установки согласитесь сделать его лончером по умолчанию"
Детям и родителям,МТС Лончер Junior,Как удалить МТС Лончер Junior,"Как удалить МТС Лончер Junior
1. Откройте Google Play

2. Нажмите на иконку профиля в правом верхнем углу


3. Выберите Управление приложениями и устройством


4. Перейдите во вкладку Управление


5. Найдите МТС Лончер Junior в списке и нажмите на него


6. Нажмите Удалить и подтвердите"
Детям и родителям,МТС Лончер Junior,Как поменять лончер,"Как поменять лончер
1. Откройте меню Внешний вид через папку Мой Лончер или долгим нажатием на рабочем столе

2. Пролистните вниз и нажмите кнопку Сменить лончер


3. Выберите нужный лончер"
Детям и родителям,МТС Лончер Junior,Зачем устанавливать МТС Лончер Junior по умолчанию,"Зачем устанавливать МТС Лончер Junior по умолчанию
Чтобы сохранить настройки рабочего стола, которые вы сделали в приложении"
Детям и родителям,МТС Лончер Junior,Сколько стоит МТС Лончер Junior,"Сколько стоит МТС Лончер Junior
Приложение МТС Лончер Junior бесплатное"
Детям и родителям,МТС Лончер Junior,"Трачу ли я интернет, когда использую МТС Лончер Junior","Трачу ли я интернет, когда использую МТС Лончер Junior
Приложение расходует трафик по вашему тарифу, когда:

загружаются приложение и виджеты
обновляется информация в виджетах
Во всех остальных случаях трафик не расходуется."
Детям и родителям,МТС Лончер Junior,Сбой отображения информации в МТС Лончер Junior,"Сбой отображения информации в МТС Лончер Junior
Если информация в МТС Лончер Junior отображается некорректно: 

1. Перезагрузите телефон

2. Переустановите приложение

Если это не помогло, свяжитесь с нами: 

по номеру 8-800-250-37-75
по почте launcher.help@mts.ru"
Детям и родителям,МТС Лончер Junior,Приложение МТС Лончер Junior не запускается,"Приложение МТС Лончер Junior не запускается
Если МТС Лончер Junior не запускается:

1. Перезагрузите телефон

2. Переустановите приложение

Если это не помогло, свяжитесь с нами: 

по номеру 8-800-250-37-75
по почте launcher.help@mts.ru"
Детям и родителям,МТС Лончер Junior,Проблемы с виджетами в МТС Лончер Junior,"Проблемы с виджетами в МТС Лончер Junior
Если виджеты в МТС Лончер Junior работают не так, как надо:

1. Перезагрузите телефон

2. Переустановите приложение

Если это не помогло, свяжитесь с нами: 

по номеру 8-800-250-37-75
по почте launcher.help@mts.ru"
Детям и родителям,МТС Junior,Что такое МТС Junior,"Что такое МТС Junior
МТС Junior — это подписка на полезные, безопасные и интересные сервисы для ребёнка.
В подписке собраны сервисы безопасности, такие как местоположение ребенка, мультфильмы, развивающие игры и познавательные курсы, музыка и фильмы с детскими режимами, а еще безлимитные мессенджеры, соц. сети и многое другое.

Особенности:

к номеру одного родителя можно привязать только один номер ребенка
подписка дает доступ ко всем сервисам, которые в нее входят, без дополнительных трат. Нельзя отключить доступ к отдельному сервису без отключения всей подписки для ребенка и родителя
при смене владельца номера подписка отключается"
Детям и родителям,МТС Junior,Как стать участником МТС Junior,"Как стать участником МТС Junior
Для этого надо с номера родителя подключить подписку на сайте МТС Junior"
Детям и родителям,МТС Junior,Какие привилегии входят в МТС Junior,"Какие привилегии входят в МТС Junior
Для родителя

подписка на сервис Где мои дети для определения местоположения и другими полезными функциями
сервис Leoni для развития навыков и талантов ребенка. Доступен только в годовой подписке
отслеживание прогресса ребёнка в сервисе ЛогикЛайк
Привилегии для родителя доступны на всех подписка, кроме МТС Junior. Твоя подписка.

Для ребёнка

доступ к развивающим курсам и познавательным играм в сервисе ЛогикЛайк
подписка в онлайн-кинотеатре KION с детским профилем и без рекламы
подписка на МТС Музыку с детским режимом. Предоставляется через активацию промокода
защитник от спам-звонков для клиентов МТС
безопасность расходов для клиентов МТС. Включает в себя услугу Ограничение информационно-развлекательных сервисов, которая ограничит звонки и SMS на платные короткие номера и подключение лишних подписок ребёнку, и услугу Отмена доп.интернета, которая не позволит платно выйти в интернет, если трафик на тарифе ребёнка закончился
безлимитные мессенджеры для клиентов МТС: WhatsApp, Telegram, Discord, Snapchat, Viber, Skype, ICQ, МТС Connect и Безлимитные соц.сети VK и Одноклассники
безлимит на Likee для клиентов МТС"
Детям и родителям,МТС Junior,Сколько стоит подписка МТС Junior,"Сколько стоит подписка МТС Junior
ежемесячные подписки — первые 30 дней бесплатно, далее 149 ₽ в месяц. Бесплатный период предоставляется один раз при первом подключении
годовая подписка - 999 ₽ в год. Бесплатный период не предоставляется"
Детям и родителям,МТС Junior,Почему больше недоступны привилегии МТС Junior,"Почему больше недоступны привилегии МТС Junior
Доступ к привилегиям подписки может быть ограничен, если вы не оплатили подписку МТС Junior. Проверить статус, сменить способ оплаты подписки и оплатить подписку МТС Junior можно на сайте МТС Junior в разделе Управление подпиской.

Если подписка оплачена, а сервисы работают не так, как надо, напишите нам через значок чата в правом нижнем углу"
Детям и родителям,МТС Junior,Как управлять подпиской МТС Junior,"Как управлять подпиской МТС Junior
Для управления подпиской войдите в аккаунт на сайте МТС Junior c номером родителя или ребёнка, в зависимости от того, в чью подписку хотите внести изменения.

Что может делать родитель
подключать подписку себе и ребёнку
менять способ оплаты — лицевой счёт или банковская карта
добавлять ребёнка в подписку
отключить подписку
получать важные уведомления и SMS по подписке
пользоваться сервисами подписки
просматривать статус подписки
Что может делать ребёнок
пользоваться сервисами подписки
видеть статус подписки
просматривать доступные сервисы подписки
получать уведомления по подписке и SMS для ребёнка
направлять приглашение родителю для подключения подписки
При подключении МТС Junior. Твоя подписка пользователь может делать всё то, что и родитель по остальным подпискам."
Детям и родителям,МТС Junior,Как отказаться от подписки МТС Junior,"Как отказаться от подписки МТС Junior
Выберите, где вам удобнее, и разверните вкладку для просмотра инструкции:

На сайте МТС Junior
1. Войдите в свой аккаунт на сайте МТС Junior

2. Нажмите на значок шестерёнки на баннере с подпиской


3. Нажмите Отключить подписку


В приложении Мой МТС
1. Войдите в свой аккаунт и перейдите в раздел Подключённые услуги и сервисы


2. На баннере МТС Junior нажмите Управлять


3. Нажмите на значок шестерёнки на баннере с подпиской


4. Пролистните вниз и нажмите Отключить подписку


После отключения подписки МТС Junior все её сервисы становятся недоступны. Если хотите пользоваться каким-то сервисом дальше, его можно подключить отдельно на стандартных условиях."
